feature,mean_coef,mean_abs_coef,std_abs_coef
lsb_mean,-2.302373404854518,2.302373404854518,0.07103211999437614
pair_balance_max,0.26703824937321896,0.332040475075965,0.15585533346772115
coarse_hist_bin_15,0.22297714819249959,0.3187834448592107,0.17365149434335625
pair_balance_mean,0.2668974119712376,0.28783430056406284,0.15090817811112714
pair_balance_std,0.20577986674813012,0.2779559408359244,0.17052538962529432
lsb_v_agreement,0.27423057021527636,0.27423057021527636,0.13629242732775992
pair_mass_std,-0.2524666429551326,0.2550466085178751,0.17570590450688545
lsb_h_agreement,0.22061763062364442,0.22541387387409756,0.13801403401356607
coarse_hist_bin_00,-0.19888789482188035,0.21565582561565502,0.1090963862689644
coarse_hist_bin_09,-0.10792954752454305,0.16756770673165733,0.12536825362120504
coarse_hist_bin_12,-0.09189089172586833,0.15872697991366774,0.1117049687814865
coarse_hist_bin_04,0.1001962242111689,0.14650447228347388,0.11019144340809167
mad_intensity,0.1177521633544755,0.1425127973921025,0.09666653618379477
coarse_hist_bin_13,-0.02481015491289256,0.14022262144913278,0.0994575443418326
std_intensity,0.12464352912009029,0.13176476276822077,0.0986667395931404
coarse_hist_bin_08,-0.017058330227924717,0.12988169590901666,0.09452318093082207
coarse_hist_bin_01,-0.007616549523841292,0.12645701780724766,0.09614235093043784
grad_skew,0.04752389605576965,0.12481984838780999,0.08697632441714462
residual_skew,-0.08408409602310885,0.11960445108672606,0.08131254326018295
lap_skew,-0.08408409602310885,0.11960445108672606,0.08131254326018295
coarse_hist_bin_14,0.09366150724246528,0.11717528510193798,0.10650505846883813
coarse_hist_bin_02,0.09022106084439377,0.1137326677961262,0.08012410403267393
coarse_hist_bin_05,-0.028190211970332606,0.10872037293170993,0.07163388435320951
residual_mean,0.08800385857337441,0.10692276795880398,0.08161407827246607
lap_mean,0.08800385857337441,0.10692276795880398,0.08161407827246607
grad_excess_kurtosis,0.06277646897681308,0.10685608788876974,0.07786383592744064
coarse_hist_bin_10,-0.030311586707308925,0.10630400932137268,0.08871788846513799
coarse_hist_bin_03,-0.07125301866869665,0.09997936198997624,0.0769785781042352
lap_excess_kurtosis,0.060160457595835964,0.09420097582503133,0.07500563906115529
residual_excess_kurtosis,0.060160457595835964,0.09420097582503133,0.07500563906115529
coarse_hist_bin_07,0.008317035048152947,0.09071032179462929,0.06103976720552513
coarse_hist_bin_11,0.03190263494145143,0.08944067063886237,0.06373948474568762
mean_intensity,0.06724604509636749,0.08575576220220067,0.04385908534364995
coarse_hist_bin_06,0.06143688058536334,0.08554012121394243,0.06396983915717358
grad_mean,0.04235060831994069,0.08125422808142613,0.04710478809229072
lap_std,0.017024571709170752,0.06947795715711214,0.046533027345066334
residual_std,0.017024571709170752,0.06947795715711214,0.046533027345066334
residual_mean_abs,-0.02456346358502951,0.05732243591023756,0.04924082779360072
lap_mean_abs,-0.02456346358502951,0.05732243591023756,0.04924082779360072
grad_std,-0.019810441316432056,0.05510590380803346,0.042657735142675846
median_intensity,-0.0017001381708267424,0.047501432670459295,0.03520582277284943
