feature,mean_importance,std_importance
lsb_mean,0.23781162355436913,0.025153864351965934
pair_balance_mean,0.029315651237684027,0.005230319798393838
lsb_v_agreement,0.028844399632909048,0.004078603320040066
pair_balance_std,0.026944432342297205,0.0038594837144867488
coarse_hist_bin_11,0.024350839415249688,0.003013666565015613
coarse_hist_bin_09,0.02418694670481039,0.0033274949973378003
coarse_hist_bin_02,0.024104355884228577,0.0037358541794962077
grad_excess_kurtosis,0.02407514962130262,0.003242023175140689
lap_skew,0.023972222520617866,0.002736274159195131
lsb_h_agreement,0.023625804099980687,0.004109730817302113
coarse_hist_bin_05,0.023610385345645163,0.0031652914863287015
coarse_hist_bin_10,0.023043254153329588,0.0031930201423511066
coarse_hist_bin_08,0.02269794658522604,0.003269361219542646
pair_balance_max,0.022138661152508652,0.003207425966732188
grad_skew,0.022131968211224255,0.0034860731685889454
coarse_hist_bin_04,0.02211306562517373,0.00352712676047085
coarse_hist_bin_06,0.021700978090596137,0.0031866195668127624
lap_excess_kurtosis,0.021666490646309402,0.0025645809854854314
pair_mass_std,0.021263325859596924,0.003145841460688783
residual_excess_kurtosis,0.020866991415847295,0.002926848906132318
residual_skew,0.020234506371713153,0.002944298961497439
coarse_hist_bin_03,0.020131584201400075,0.0033037567134826472
coarse_hist_bin_07,0.0194658223205736,0.002605942488826048
coarse_hist_bin_01,0.018906921791884784,0.002772908930789019
residual_std,0.018527190111513676,0.0031654924814254414
lap_mean_abs,0.01816398072290715,0.0026309741789449035
coarse_hist_bin_00,0.0181232626771347,0.0025283094864551135
lap_std,0.017880364851479414,0.002693996403878643
coarse_hist_bin_12,0.0176963163834365,0.003047524548144791
std_intensity,0.017674055701241555,0.0029446514593098458
grad_mean,0.016309112304761772,0.0026463715104383793
grad_std,0.016203392913992243,0.002586285341056356
residual_mean_abs,0.015804252753492856,0.0022496903617652826
coarse_hist_bin_13,0.015659028297910653,0.0029860177586566563
mean_intensity,0.013346235004218521,0.002687375225754566
coarse_hist_bin_14,0.01179051785940338,0.0028888659255584524
coarse_hist_bin_15,0.010255292201834458,0.002693286995833043
mad_intensity,0.007402329700935459,0.002049944014874486
residual_mean,0.006343953623707713,0.0014757825244527155
lap_mean,0.005940148198478299,0.00177637590186323
median_intensity,0.005677239909073643,0.0015655015430183293
