detector,metric,value
logistic_regression,auc_mean,0.7610204081632652
logistic_regression,auc_std,0.0486635209959005
logistic_regression,average_precision_mean,0.801705068740783
logistic_regression,accuracy_mean,0.6985714285714285
logistic_regression,f1_mean,0.6953695480645946
logistic_regression,precision_mean,0.726452797202797
logistic_regression,recall_mean,0.7114285714285714
logistic_regression,fp_mean,2.2
logistic_regression,fn_mean,2.02
random_forest,auc_mean,0.8817346938775512
random_forest,auc_std,0.07065315259546788
random_forest,average_precision_mean,0.8953786213786212
random_forest,accuracy_mean,0.805
random_forest,f1_mean,0.7880521654128465
random_forest,precision_mean,0.8620710678210678
random_forest,recall_mean,0.7657142857142857
random_forest,fp_mean,1.09
random_forest,fn_mean,1.64
