cover_index,cover_name,seed_used,payload_length_bits,candidate_count,used_suitability_quantile,mse,psnr_db,ber,selected_basis_match_ratio,mean_utility_selected,mean_suitability_selected,changed_pixels_all,fraction_pixels_changed_all,positive_changes,negative_changes,signed_change_sum,signed_change_imbalance_ratio,max_block_count,std_block_count,min_block_count
1,00000.png,616753,4096,10501,0.75,0.0313262939453125,63.17171342121018,0.0,1.0,0.5734654068946838,0.34379297494888306,2053,0.0313262939453125,1027,1026,1,0.0004870920603994155,77,19.75810751311977,0
2,00001.png,240366,4096,10390,0.75,0.029632568359375,63.413110659196235,0.0,1.0,0.5935201048851013,0.37464630603790283,1942,0.029632568359375,971,971,0,0.0,87,20.30644140414563,0
3,00002.png,86358,4096,10477,0.75,0.031402587890625,63.161149210651956,0.0,1.0,0.5729348659515381,0.34297674894332886,2058,0.031402587890625,1029,1029,0,0.0,88,20.38535013189619,0
4,00003.png,54611,4096,10479,0.75,0.0318603515625,63.098297971613846,0.0,1.0,0.6187877058982849,0.41351956129074097,2088,0.0318603515625,1044,1044,0,0.0,91,19.623009453190406,0
5,00004.png,789445,4096,10278,0.75,0.031005859375,63.216365878797276,0.0,1.0,0.6291160583496094,0.4294092655181885,2032,0.031005859375,1016,1016,0,0.0,86,19.310780667803154,0
6,00005.png,379532,4096,10299,0.75,0.0318145751953125,63.10454232181833,0.0,1.0,0.6086453199386597,0.39791589975357056,2085,0.0318145751953125,1042,1043,-1,0.00047961630695443646,80,18.964193233565197,0
7,00006.png,129377,4096,10426,0.75,0.0318145751953125,63.10454232181833,0.0,1.0,0.6183897256851196,0.412907212972641,2085,0.0318145751953125,1043,1042,1,0.00047961630695443646,103,22.191108861433673,0
8,00010.png,520039,4096,10443,0.75,0.0314178466796875,63.15903944873578,0.0,1.0,0.6126351356506348,0.4040541350841522,2059,0.0314178466796875,1030,1029,1,0.00048567265662943174,95,23.626984043673453,0
9,00011.png,106271,4096,10440,0.75,0.030731201171875,63.2550082527401,0.0,1.0,0.5741439461708069,0.3448368310928345,2014,0.030731201171875,1007,1007,0,0.0,81,19.348570683644827,0
10,00012.png,396893,4096,10393,0.75,0.0312957763671875,63.17594631123243,0.0,1.0,0.6002443432807922,0.3849913477897644,2051,0.0312957763671875,1025,1026,-1,0.00048756704046806434,85,20.547581974529265,0
11,00013.png,362921,4096,10551,0.75,0.032196044921875,63.05277836193917,0.0,1.0,0.6358734369277954,0.4398052990436554,2110,0.032196044921875,1055,1055,0,0.0,89,20.470825276475786,0
12,00014.png,358501,4096,10312,0.75,0.0311737060546875,63.192919248591615,0.0,1.0,0.5788911581039429,0.352140337228775,2043,0.0311737060546875,1022,1021,1,0.0004894762604013706,74,17.956979840719317,0
13,00015.png,131695,4096,10251,0.75,0.0307464599609375,63.25285241014481,0.0,1.0,0.5832841396331787,0.35889869928359985,2015,0.0307464599609375,1007,1008,-1,0.0004962779156327543,80,20.315865105872305,0
14,00016.png,478235,4096,10367,0.75,0.0311279296875,63.19930124065711,0.0,1.0,0.5712206959724426,0.3403395712375641,2040,0.0311279296875,1020,1020,0,0.0,83,19.893858977081344,0
15,00020.png,973927,4096,10367,0.75,0.0314788818359375,63.15061063518458,0.0,1.0,0.5285115242004395,0.27463313937187195,2063,0.0314788818359375,1032,1031,1,0.0004847309743092584,77,18.592042988870265,0
16,00021.png,760666,4096,10335,0.75,0.0319366455078125,63.08791063152923,0.0,1.0,0.5793399810791016,0.35283082723617554,2093,0.0319366455078125,1046,1047,-1,0.00047778308647873863,80,18.82526560237597,0
17,00022.png,678814,4096,10293,0.75,0.03143310546875,63.15693071122456,0.0,1.0,0.6222947239875793,0.4189149737358093,2060,0.03143310546875,1030,1030,0,0.0,84,20.61306472846772,0
18,00023.png,108041,4096,10456,0.75,0.0328216552734375,62.969198811041466,0.0,1.0,0.565667986869812,0.3317968547344208,2151,0.0328216552734375,1076,1075,1,0.00046490004649000463,78,19.904066795506893,0
19,00024.png,421955,4096,10282,0.75,0.0314178466796875,63.15903944873578,0.0,1.0,0.5331486463546753,0.2817670702934265,2059,0.0314178466796875,1029,1030,-1,0.00048567265662943174,78,19.958159359019056,0
20,00025.png,9066,4096,10432,0.75,0.03167724609375,63.12332942315189,0.0,1.0,0.5975106358528137,0.38078558444976807,2076,0.03167724609375,1038,1038,0,0.0,102,20.114710102310696,0
21,00026.png,156701,4096,10394,0.75,0.0311126708984375,63.20143065713469,0.0,1.0,0.5451449155807495,0.3002229332923889,2039,0.0311126708984375,1020,1019,1,0.0004904364884747426,80,18.853464535729234,0
