feature,cover_mean,stego_mean,delta_mean,delta_std,delta_median,mean_abs_delta,fraction_positive_delta,fraction_negative_delta,fraction_zero_delta,paired_effect_size_dz,warden_mean_coef,warden_mean_abs_coef
lsb_mean,0.5016254243396577,0.49702308291480657,-0.00460234142485119,0.0004559307931344768,-0.0047454833984375,0.00460234142485119,0.0,1.0,0.0,-10.094385999059606,-2.3023734048545186,2.3023734048545186
pair_balance_max,0.0062408447265625,0.006247384207589286,6.539481026785714e-06,0.00014640044491596654,0.0,0.00010245186941964286,0.47619047619047616,0.47619047619047616,0.047619047619047616,0.04466845019406128,0.26703824937321907,0.332040475075965
coarse_hist_bin_15,0.012688046409970238,0.012678600492931548,-9.445917038690477e-06,1.728657641219413e-05,0.0,9.445917038690477e-06,0.0,0.38095238095238093,0.6190476190476191,-0.5464307256118397,0.2229771481924997,0.31878344485921084
pair_balance_mean,0.0004038810729980469,0.00041094280424572175,7.0617312476748515e-06,1.1941681960607917e-05,7.152557373046875e-06,1.1761983235677084e-05,0.7619047619047619,0.23809523809523808,0.0,0.5913514260066539,0.2668974119712377,0.28783430056406284
pair_balance_std,0.0007493554656453521,0.0007521611917975424,2.8057261521902725e-06,1.2230720144243923e-05,2.7609385391661237e-06,9.862370554112905e-06,0.5714285714285714,0.42857142857142855,0.0,0.22939989548455333,0.2057798667481301,0.27795594083592423
lsb_v_agreement,0.5601350957049487,0.563000408496732,0.002865312791783391,0.0008895924497395415,0.0026960784313725394,0.002865312791783391,1.0,0.0,0.0,3.2209275038264784,0.27423057021527625,0.27423057021527625
pair_mass_std,0.00605915055428226,0.006058862231337274,-2.883229449857248e-07,2.156229725583036e-06,7.84526578761699e-08,1.530664612015637e-06,0.5238095238095238,0.47619047619047616,0.0,-0.13371618424914314,-0.2524666429551326,0.2550466085178751
lsb_h_agreement,0.5447748891223154,0.5477598330999067,0.0029849439775910445,0.0005650473863649321,0.0029718137254901578,0.0029849439775910445,1.0,0.0,0.0,5.282643623061721,0.22061763062364434,0.2254138738740975
coarse_hist_bin_00,0.03426978701636905,0.034243629092261904,-2.6157924107142856e-05,2.8698756129864645e-05,-1.52587890625e-05,2.6157924107142856e-05,0.0,0.6190476190476191,0.38095238095238093,-0.9114653986155472,-0.19888789482188035,0.21565582561565502
coarse_hist_bin_09,0.0739411853608631,0.07393391927083333,-7.266090029761904e-06,8.365791227576412e-05,-1.52587890625e-05,7.266090029761905e-05,0.42857142857142855,0.5238095238095238,0.047619047619047616,-0.08685478450568652,-0.1079295475245431,0.16756770673165736
coarse_hist_bin_12,0.05392238071986607,0.053919474283854164,-2.9064360119047617e-06,3.2834366651829325e-05,0.0,2.6157924107142856e-05,0.3333333333333333,0.42857142857142855,0.23809523809523808,-0.08851810525861713,-0.09189089172586833,0.15872697991366777
coarse_hist_bin_04,0.0833769298735119,0.08341035388764881,3.3424014136904765e-05,8.365791227576413e-05,4.57763671875e-05,7.411411830357142e-05,0.5714285714285714,0.3333333333333333,0.09523809523809523,0.399532008726158,0.1001962242111689,0.14650447228347377
