cover_index,cover_name,variant,seed_used,secret_one_fraction,mse,psnr_db,ber,selected_basis_match_ratio,changed_pixels_all,fraction_pixels_changed_all,positive_changes,negative_changes,signed_change_sum,signed_change_imbalance_ratio
1,00000.png,whitened_payload,616753,0.502197265625,0.0318450927734375,63.10037842412518,0.0,1.0,2087,0.0318450927734375,1044,1043,1,0.0004791566842357449
2,00001.png,whitened_payload,240366,0.49365234375,0.0309600830078125,63.22278244444236,0.0,1.0,2029,0.0309600830078125,1015,1014,1,0.000492853622474125
3,00002.png,whitened_payload,86358,0.510986328125,0.030975341796875,63.22064253564376,0.0,1.0,2030,0.030975341796875,1015,1015,0,0.0
4,00003.png,whitened_payload,54611,0.49951171875,0.0308685302734375,63.23564408706736,0.0,1.0,2023,0.0308685302734375,1012,1011,1,0.0004943153732081065
5,00004.png,whitened_payload,789445,0.49365234375,0.0309600830078125,63.22278244444236,0.0,1.0,2029,0.0309600830078125,1015,1014,1,0.000492853622474125
6,00005.png,whitened_payload,379532,0.505615234375,0.0309906005859375,63.218503680727885,0.0,1.0,2031,0.0309906005859375,1016,1015,1,0.0004923682914820284
7,00006.png,whitened_payload,129377,0.50048828125,0.03076171875,63.25069763704004,0.0,1.0,2016,0.03076171875,1008,1008,0,0.0
8,00010.png,whitened_payload,520039,0.501220703125,0.0318450927734375,63.10037842412518,0.0,1.0,2087,0.0318450927734375,1044,1043,1,0.0004791566842357449
9,00011.png,whitened_payload,106271,0.507568359375,0.030517578125,63.285302958133975,0.0,1.0,2000,0.030517578125,1000,1000,0,0.0
10,00012.png,whitened_payload,396893,0.501708984375,0.0310821533203125,63.20569262477473,0.0,1.0,2037,0.0310821533203125,1018,1019,-1,0.0004909180166912123
11,00013.png,whitened_payload,362921,0.498046875,0.0318145751953125,63.104542321681826,0.0,1.0,2085,0.0318145751953125,1043,1042,1,0.00047961630695443624
12,00014.png,whitened_payload,358501,0.49365234375,0.031402587890625,63.161149210513656,0.0,1.0,2058,0.031402587890625,1029,1029,0,0.0
13,00015.png,whitened_payload,131695,0.510498046875,0.0307159423828125,63.25716516588816,0.0,1.0,2013,0.0307159423828125,1006,1007,-1,0.000496770988574267
14,00016.png,whitened_payload,478235,0.49169921875,0.0318450927734375,63.10037842412518,0.0,1.0,2087,0.0318450927734375,1044,1043,1,0.0004791566842357449
15,00020.png,whitened_payload,973927,0.509521484375,0.0308990478515625,63.231352639268664,0.0,1.0,2025,0.0308990478515625,1013,1012,1,0.000493827160493827
16,00021.png,whitened_payload,760666,0.4951171875,0.031005859375,63.216365878657214,0.0,1.0,2032,0.031005859375,1016,1016,0,0.0
17,00022.png,whitened_payload,678814,0.500732421875,0.031219482421875,63.18654662101557,0.0,1.0,2046,0.031219482421875,1023,1023,0,0.0
18,00023.png,whitened_payload,108041,0.4951171875,0.031402587890625,63.161149210513656,0.0,1.0,2058,0.031402587890625,1029,1029,0,0.0
19,00024.png,whitened_payload,421955,0.51025390625,0.030792236328125,63.24639129576614,0.0,1.0,2018,0.030792236328125,1009,1009,0,0.0
20,00025.png,whitened_payload,9066,0.483154296875,0.0303955078125,63.30270957389642,0.0,1.0,1992,0.0303955078125,996,996,0,0.0
21,00026.png,whitened_payload,156701,0.5048828125,0.031341552734375,63.16959852216493,0.0,1.0,2054,0.031341552734375,1027,1027,0,0.0
