feature,mean_coef,mean_abs_coef,std_coef
grad_skew,-0.2037972555850031,0.2037972555850031,0.03296202470214414
lap_excess_kurtosis,0.17592328716915517,0.17592328716915517,0.02655340004908125
residual_excess_kurtosis,0.17592328716915517,0.17592328716915517,0.02655340004908125
lsb_h_agreement,-0.14175734988442998,0.14175734988442998,0.03594277748016299
lsb_mean,0.09942030626578478,0.1277899069761971,0.14170350549150915
grad_excess_kurtosis,-0.1196799695092552,0.1196799695092552,0.03439928862837181
lsb_v_agreement,-0.11701756977131327,0.11701756977131327,0.034930296603041686
pair_balance_mean,-0.0956749473704107,0.09853308186054692,0.07595832635373262
mad_intensity,0.059273227855755145,0.0597740000723698,0.030951440426093726
lap_mean_abs,-0.055978217436318124,0.055978217436318124,0.015156955966576275
residual_mean_abs,-0.055978217436318124,0.055978217436318124,0.015156955966576275
grad_std,-0.055759596998363616,0.055759596998363616,0.024041946492995122
coarse_hist_bin_03,-0.0505427761775539,0.052640518420857596,0.030640623188303937
coarse_hist_bin_08,-0.0485707886009533,0.05216747615107143,0.03598591209358223
std_intensity,0.04860777260959932,0.04956467535084728,0.028047341411035053
coarse_hist_bin_04,0.03462007302886896,0.04952388388204106,0.04962495637014718
coarse_hist_bin_09,-0.04246465617518455,0.04505457687232165,0.030385610375433417
lap_std,-0.04310560645728206,0.04315374797751578,0.01857078534103046
residual_std,-0.04310560645728206,0.04315374797751578,0.01857078534103046
pair_mass_std,0.01729200115733284,0.04071093497506772,0.049002081628746766
coarse_hist_bin_12,0.013147217009010202,0.039823080859196565,0.04930600287447914
coarse_hist_bin_14,0.024367830220851303,0.039771662495365366,0.04619345859287538
coarse_hist_bin_05,0.03614449083603755,0.03874490052201312,0.029025791014702002
pair_balance_std,0.009250280826728635,0.03818207449646221,0.05171391502788134
lap_skew,-0.03416482035677581,0.03806682686710232,0.027109223681618593
residual_skew,-0.03416482035677581,0.03806682686710232,0.027109223681618593
coarse_hist_bin_07,-0.03393491575845326,0.03724881457267099,0.03201489052669778
coarse_hist_bin_15,-0.025006559033222846,0.03632214751691137,0.036790963106750646
coarse_hist_bin_01,0.029343403248651048,0.03575629890713184,0.034707608798636234
pair_balance_max,-0.031491939168956325,0.035606882615743116,0.031502884753735784
coarse_hist_bin_13,0.002992119894167977,0.03095548857553543,0.03865872743858612
coarse_hist_bin_00,-0.013230789242275253,0.030002696546645394,0.0350188194277042
coarse_hist_bin_11,-0.01821529098752099,0.02707541144365585,0.02741616770137665
coarse_hist_bin_10,0.014232894178372582,0.026901577846849385,0.029322651673845908
coarse_hist_bin_02,-0.004691618447233117,0.024633395308548196,0.03410087929961006
coarse_hist_bin_06,0.011664173577585112,0.02269442945254688,0.02793683779940318
lap_mean,-0.01211702664744837,0.021207134298900074,0.024679806463385866
residual_mean,-0.01211702664744837,0.021207134298900074,0.024679806463385866
median_intensity,-0.014020747185866376,0.018318157023192637,0.016354160201699094
grad_mean,0.011396917312351198,0.01494104571871157,0.018008441242443784
mean_intensity,-0.00681259198565345,0.013450233215967406,0.016375442411481044
