split_index,train_size,test_size,test_auc,test_accuracy
1,28,14,0.489795918367347,0.5
2,28,14,0.5714285714285714,0.5
3,28,14,0.5102040816326531,0.5
4,28,14,0.6122448979591837,0.5
5,28,14,0.5306122448979592,0.5
6,28,14,0.5510204081632654,0.5
7,28,14,0.6122448979591837,0.5
8,28,14,0.6122448979591837,0.5714285714285714
9,28,14,0.5510204081632654,0.5
10,28,14,0.5102040816326531,0.5714285714285714
11,28,14,0.6326530612244898,0.5714285714285714
12,28,14,0.5714285714285714,0.5
13,28,14,0.5918367346938775,0.5
14,28,14,0.6122448979591837,0.5
15,28,14,0.5714285714285714,0.5
16,28,14,0.5918367346938775,0.5
17,28,14,0.44897959183673475,0.42857142857142855
18,28,14,0.5918367346938775,0.5
19,28,14,0.6122448979591837,0.5
20,28,14,0.5714285714285714,0.5
21,28,14,0.5714285714285714,0.5
22,28,14,0.5918367346938775,0.5
23,28,14,0.5918367346938775,0.5
24,28,14,0.5918367346938775,0.5
25,28,14,0.6122448979591837,0.5
26,28,14,0.5918367346938775,0.5
27,28,14,0.5918367346938775,0.5
28,28,14,0.5510204081632653,0.5
29,28,14,0.5918367346938775,0.5
30,28,14,0.5714285714285714,0.5
31,28,14,0.4897959183673469,0.42857142857142855
32,28,14,0.5714285714285714,0.5
33,28,14,0.6122448979591837,0.5
34,28,14,0.5510204081632653,0.5
35,28,14,0.6326530612244898,0.5
36,28,14,0.5306122448979591,0.5
37,28,14,0.5918367346938775,0.5
38,28,14,0.5918367346938775,0.5
39,28,14,0.5714285714285714,0.5
40,28,14,0.6122448979591837,0.5
41,28,14,0.673469387755102,0.5
42,28,14,0.5918367346938775,0.5
43,28,14,0.5714285714285714,0.5714285714285714
44,28,14,0.5918367346938775,0.5
45,28,14,0.5918367346938775,0.5
46,28,14,0.5714285714285714,0.5
47,28,14,0.5510204081632653,0.5
48,28,14,0.5918367346938775,0.5
49,28,14,0.5714285714285714,0.5
50,28,14,0.5714285714285714,0.5714285714285714
51,28,14,0.6122448979591837,0.5
52,28,14,0.5510204081632653,0.5
53,28,14,0.5918367346938775,0.5714285714285714
54,28,14,0.5918367346938775,0.5
55,28,14,0.4897959183673469,0.5
56,28,14,0.5918367346938775,0.6428571428571429
57,28,14,0.5306122448979591,0.5
58,28,14,0.5714285714285714,0.5
59,28,14,0.5714285714285714,0.5
60,28,14,0.5714285714285714,0.5
61,28,14,0.6122448979591837,0.5714285714285714
62,28,14,0.5714285714285714,0.5
63,28,14,0.5714285714285714,0.5
64,28,14,0.5510204081632654,0.5
65,28,14,0.5306122448979592,0.5
66,28,14,0.6122448979591837,0.5714285714285714
67,28,14,0.5918367346938775,0.5
68,28,14,0.5714285714285714,0.5
69,28,14,0.4693877551020408,0.5
70,28,14,0.5714285714285714,0.5714285714285714
71,28,14,0.5306122448979592,0.5
72,28,14,0.5918367346938775,0.5
73,28,14,0.5918367346938775,0.5
74,28,14,0.5510204081632653,0.5
75,28,14,0.6122448979591837,0.5714285714285714
76,28,14,0.6326530612244898,0.5
77,28,14,0.5918367346938775,0.5714285714285714
78,28,14,0.5918367346938775,0.5
79,28,14,0.5918367346938775,0.5
80,28,14,0.5306122448979592,0.5
81,28,14,0.5102040816326531,0.5714285714285714
82,28,14,0.5918367346938775,0.5
83,28,14,0.5306122448979592,0.5
84,28,14,0.5918367346938775,0.5
85,28,14,0.5510204081632654,0.5
86,28,14,0.5918367346938775,0.5
87,28,14,0.5918367346938775,0.5714285714285714
88,28,14,0.5102040816326531,0.5
89,28,14,0.5918367346938775,0.5714285714285714
90,28,14,0.5102040816326531,0.5
91,28,14,0.5918367346938775,0.5714285714285714
92,28,14,0.5510204081632654,0.5
93,28,14,0.5102040816326531,0.5
94,28,14,0.5102040816326531,0.5
95,28,14,0.4897959183673469,0.5
96,28,14,0.5918367346938775,0.5714285714285714
97,28,14,0.5510204081632654,0.5714285714285714
98,28,14,0.5306122448979592,0.5714285714285714
99,28,14,0.5306122448979591,0.5
100,28,14,0.5918367346938775,0.5714285714285714
